MAPS_test_genome	MAPS_test_type	MAPS_test_start	MAPS_test_end	MAPS_test_strand	MAPS_test_p_value	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_log2foldchange	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_pvalue	MAPS_test_ms2_pint_spi_1_vs_pint_spi_1_padj	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_log2foldchange	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_pvalue	MAPS_test_ms2_pint_spi_1_vs_ms2_spi_1_padj	id_lower	SPI1_Pulse_Tidy_logFC	SPI1_Pulse_Tidy_p_value	SPI1_Pulse_Tidy_FDR	gene
NC_016810.1	CDS	4593838	4595079	-	2.43024e-5	4.26	NA	1.20246e-4	-0.7	0.47145054	0.736375397	yjeh	-0.267223586	0.207616852	0.840851232	yjeH
NC_016810.1	sRNA	2145050	2145161	-	8.43952e-4	4.26	NA	0.002383359	-2.03	0.064703089	0.282515882	stnc240	NA	NA	NA	STnc240
NC_016810.1	sRNA	3191584	3191670	-	4.2606e-5	4.26	NA	1.938e-4	-2.46	0.017508086	0.131378805	omra	NA	NA	NA	OmrA
NC_016810.1	CDS	3392191	3392553	-	8.16914e-5	4.26	NA	3.35698e-4	1.25	0.209779979	0.512559122	folb	NA	NA	NA	folB
NC_016810.1	CDS	4356691	4359342	-	2.78712e-6	4.26	NA	1.95946e-5	0.23	0.799489216	0.92241393	ppc	0.106058509	0.64707005	0.977124664	ppc
NC_016810.1	CDS	3453105	3453968	-	4.98435e-6	4.26	NA	3.16389e-5	-0.33	0.705814838	0.882235853	sl1344_3236	NA	NA	NA	SL1344_3236
NC_016810.1	CDS	3855002	3855976	+	1.35116e-5	4.26	NA	7.30618e-5	0.75	0.424474659	0.699952591	yiae	NA	NA	NA	yiaE
NC_016810.1	CDS	2493378	2494310	-	8.76197e-6	4.25	NA	5.09233e-5	-0.51	0.554753872	0.794895841	sl1344_2354	-0.17180636	0.493167053	0.951670844	SL1344_2354
NC_016810.1	CDS	1292369	1292836	+	3.73044e-7	4.25	NA	3.67744e-6	-1.49	0.068472006	0.292604698	sl1344_1187	0.309531269	0.127219859	0.699709227	SL1344_1187
NC_016810.1	CDS	4805049	4805963	+	1.3771e-5	4.25	NA	7.38536e-5	1.32	0.156800711	0.448591007	sl1344_4458	NA	NA	NA	SL1344_4458
NC_016810.1	CDS	4604563	4606353	-	1.21244e-6	4.25	NA	9.7211e-6	-0.31	0.71763418	0.886019052	frda	-0.005256607	0.982327437	0.996236646	frdA
NC_016810.1	CDS	4173567	4173770	+	6.40644e-6	4.25	NA	3.8992e-5	-2.28	0.009602597	0.094155697	sl1344_3900	NA	NA	NA	SL1344_3900
NC_016810.1	CDS	1738601	1739269	-	3.2077e-7	4.25	NA	3.29163e-6	-0.52	0.518207824	0.769997601	pspa	NA	NA	NA	pspA
NC_017718.1	CDS	5713	6315	-	3.98222e-7	4.25	NA	3.87065e-6	-1.13	0.169911255	0.467767709	yafb	0.001281244	0.995332837	0.999668167	yafB
NC_016810.1	CDS	432788	433003	+	5.78126e-6	4.25	NA	3.57661e-5	0.48	0.587465548	0.814041824	sl1344_0374	0.026157727	0.905862052	0.990289457	SL1344_0374
NC_016810.1	CDS	1528113	1528823	-	2.46364e-4	4.25	NA	8.42567e-4	-2.01	0.071367035	0.300111975	sl1344_1424	NA	NA	NA	SL1344_1424
NC_016810.1	sRNA	350913	351102	+	5.20863e-6	4.25	NA	3.29005e-5	-0.39	0.650378637	0.851436889	stnc1030	NA	NA	NA	STnc1030
NC_016810.1	CDS	4681898	4683334	+	0.002540451	4.25	NA	0.006030228	-1.44	0.178007913	0.47725152	sl1344_4352	NA	NA	NA	SL1344_4352
NC_016810.1	CDS	1918290	1918904	+	5.88334e-4	4.24	NA	0.001763048	-1.4	0.196575431	0.498120138	sl1344_1795	NA	NA	NA	SL1344_1795
NC_016810.1	CDS	4071147	4072364	+	6.47366e-7	4.24	NA	5.76431e-6	1.22	0.138390838	0.423078498	inta	NA	NA	NA	intA
NC_016810.1	CDS	3186603	3186821	+	6.13935e-6	4.24	NA	3.76635e-5	1.64	0.072629093	0.302998871	sl1344_2985	-0.467876368	0.029266141	0.39942638	SL1344_2985
NC_017718.1	CDS	8294	10174	+	2.2074e-6	4.24	NA	1.61221e-5	-2.52	0.00364863	0.054818844	cib	NA	NA	NA	cib
NC_016810.1	CDS	2766788	2767693	-	1.57991e-4	4.24	NA	5.86694e-4	-1.51	0.121953098	0.399366797	gpo	NA	NA	NA	gpO
NC_016810.1	CDS	162267	162458	-	4.25084e-5	4.24	NA	1.93552e-4	-1.13	0.237892108	0.542535551	sl1344_0138	NA	NA	NA	SL1344_0138
NC_016810.1	CDS	3265086	3266558	-	0.010115286	4.24	NA	0.019454132	-1.17	0.380425817	NA	sl1344_3059	NA	NA	NA	SL1344_3059
NC_016810.1	CDS	4625156	4625464	+	5.816e-7	4.24	NA	5.29462e-6	-0.92	0.272244468	0.577384411	hfq	0.111191985	0.509300877	0.957964143	hfQ
NC_017720.1	CDS	85923	86273	+	2.18979e-4	4.24	NA	7.61994e-4	-1	0.299000479	0.599866807	sl1344_p1_0093	NA	NA	NA	SL1344_P1_0093
NC_016810.1	CDS	3174174	3177545	-	2.67384e-6	4.23	NA	1.89013e-5	2.19	0.013276992	0.113604222	recc	-0.398624496	0.107000326	0.649844828	recC
NC_016810.1	CDS	2830773	2832014	+	4.06043e-6	4.23	NA	2.6576e-5	0.09	0.919543129	0.973037954	corb	-0.017310173	0.934359214	0.990289457	corB
NC_016810.1	CDS	3914040	3915218	+	0.012731834	4.23	NA	0.023528199	-0.6	0.674575587	NA	sl1344_3663	NA	NA	NA	SL1344_3663
NC_016810.1	CDS	4227569	4230355	+	2.09461e-6	4.23	NA	1.5398e-5	0.81	0.358110515	0.650955015	pola	-0.067056515	0.754708952	0.980552058	polA
NC_016810.1	CDS	2928907	2929495	-	0.002695635	4.23	NA	0.006341935	-1.72	0.109391071	0.37689844	sl1344_2747a	NA	NA	NA	SL1344_2747A
NC_016810.1	CDS	400346	400810	+	0.004973947	4.23	NA	0.01067198	2.07	0.131931239	NA	sl1344_0349	NA	NA	NA	SL1344_0349
NC_016810.1	CDS	1748572	1748871	+	4.02705e-4	4.23	NA	0.001274975	-1.87	0.069377588	0.294723682	sl1344_1630	NA	NA	NA	SL1344_1630
NC_016810.1	CDS	4005752	4006495	-	6.29173e-6	4.23	NA	3.83974e-5	3.19	6.31083e-4	0.019827583	sl1344_3751	NA	NA	NA	SL1344_3751
NC_016810.1	CDS	1122186	1122632	-	0.002554334	4.23	NA	0.006059993	0.38	0.754104305	0.903614939	yccf	NA	NA	NA	yccF
NC_016810.1	CDS	2290398	2291765	-	2.09299e-4	4.23	NA	7.34013e-4	-1.56	0.096235788	0.354276633	sdac	0.287485025	0.095152229	0.641725258	sdaC
NC_016810.1	CDS	4242294	4243535	-	0.014360123	4.23	NA	0.026077774	-0.21	0.88464732	NA	sl1344_3958	NA	NA	NA	SL1344_3958
NC_016810.1	CDS	786747	787517	+	0.0160762	4.23	NA	0.028691595	0.39	0.801316384	NA	sl1344_0704	NA	NA	NA	SL1344_0704
NC_016810.1	CDS	2751510	2753090	-	2.72665e-5	4.22	NA	1.32157e-4	0.66	0.498157745	0.756374555	sl1344_2570	NA	NA	NA	SL1344_2570
NC_016810.1	CDS	451040	452335	+	2.32661e-6	4.22	NA	1.68157e-5	-1.88	0.027017082	0.171486021	phor	NA	NA	NA	phoR
NC_016810.1	CDS	1576636	1578192	-	8.25517e-5	4.22	NA	3.38188e-4	-2.27	0.01845889	0.136240345	pqaa	NA	NA	NA	pqaA
NC_016810.1	CDS	470522	470992	+	1.30797e-7	4.22	NA	1.51255e-6	-0.17	0.82779013	0.935982837	ribh	-0.286930789	0.136724424	0.719098721	ribH
NC_016810.1	sRNA	1289667	1289799	-	0.002241595	4.22	NA	0.005432346	-0.46	0.696197927	0.877368058	stnc3420	NA	NA	NA	STnc3420
NC_016810.1	CDS	553122	554774	+	3.9803e-6	4.22	NA	2.62444e-5	-0.18	0.840431983	0.940460188	usha	0.17559817	0.387590712	0.929724271	ushA
NC_016810.1	CDS	939042	939857	-	1.29034e-4	4.22	NA	4.95694e-4	-0.39	0.688359513	0.871942564	sl1344_0843	NA	NA	NA	SL1344_0843
NC_016810.1	CDS	3156998	3157225	-	1.99143e-4	4.22	NA	7.0525e-4	-1.34	0.235645683	0.539967995	sl1344_2963	-0.241209491	0.268007448	0.865346655	SL1344_2963
NC_016810.1	CDS	2930361	2930999	-	2.05221e-5	4.22	NA	1.03645e-4	-2.19	0.016000724	0.124212756	sl1344_2751	NA	NA	NA	SL1344_2751
NC_017718.1	CDS	73506	74120	-	2.59097e-5	4.22	NA	1.26876e-4	0.26	0.784597192	0.915883831	pils	NA	NA	NA	pilS
NC_016810.1	CDS	2039277	2039438	-	0.001357478	4.22	NA	0.003559435	-0.93	0.386946643	0.674325652	sl1344_1927	NA	NA	NA	SL1344_1927
NC_016810.1	CDS	4215218	4216669	+	1.38132e-5	4.22	NA	7.39876e-5	-0.29	0.759713691	0.906561473	trkh	-0.546714579	0.014772523	0.269188189	trkH
NC_016810.1	CDS	1267325	1268188	-	0.001187557	4.22	NA	0.003170099	0.62	0.582566086	0.811337581	potb	NA	NA	NA	potB
NC_016810.1	CDS	351199	351966	-	7.29451e-5	4.22	NA	3.04613e-4	2.4	0.020173025	0.143551926	sl1344_0304	NA	NA	NA	SL1344_0304
NC_016810.1	CDS	974052	975020	-	3.72524e-7	4.21	NA	3.67633e-6	-0.41	0.614695562	0.827878813	ybjx	-0.133329497	0.478304333	0.951670844	ybjX
NC_016810.1	CDS	4522829	4523110	-	0.01235392	4.21	NA	0.022956811	-0.95	0.495619292	NA	sl1344_4199	NA	NA	NA	SL1344_4199
NC_016810.1	CDS	2659201	2660010	-	0.011827249	4.21	NA	0.022151534	-1.32	0.336929364	NA	sl1344_2490	NA	NA	NA	SL1344_2490
NC_016810.1	CDS	3598418	3598927	+	9.49963e-6	4.21	NA	5.41635e-5	-0.22	0.818650993	0.932087696	def	0.219040973	0.366054499	0.92521963	def
NC_016810.1	CDS	1248749	1249774	+	2.82508e-4	4.21	NA	9.43088e-4	0.42	0.708568292	0.884039522	nagz	0.343616172	0.124680608	0.696358568	nagZ
NC_016810.1	CDS	1587258	1588724	-	1.66397e-6	4.21	NA	1.27736e-5	-1.4	0.087078222	0.336443117	sl1344_1484	-0.066673911	0.778781937	0.980552058	SL1344_1484
NC_016810.1	CDS	2755177	2755722	-	0.001660041	4.2	NA	0.00421283	0.29	0.807037043	0.926340103	sl1344_2573	NA	NA	NA	SL1344_2573
NC_016810.1	CDS	543414	545288	+	1.21576e-5	4.2	NA	6.67732e-5	0.27	0.776628726	0.913059844	htpg	0.246333765	0.17070222	0.777141504	htpG
NC_016810.1	CDS	1952123	1952575	-	4.5835e-6	4.2	NA	2.94258e-5	0.83	0.34814618	0.642922018	ntpa	-0.315125029	0.211092398	0.840851232	ntpA
NC_016810.1	CDS	3164304	3165635	+	2.05904e-5	4.2	NA	1.03873e-4	-0.65	0.462775642	0.72890135	arga	NA	NA	NA	argA
NC_016810.1	CDS	2620008	2620364	-	0.017116658	4.2	NA	0.030284867	0.28	0.858337702	NA	sl1344_2470	NA	NA	NA	SL1344_2470
NC_016810.1	CDS	1895239	1896030	-	6.26361e-7	4.2	NA	5.62167e-6	-0.55	0.497537272	0.756089675	kdgr	-0.142887037	0.450410074	0.951670844	kdgR
NC_016810.1	CDS	936835	937443	-	2.73412e-5	4.2	NA	1.32448e-4	1.13	0.234331087	0.53851467	ybjg	-0.089921497	0.692908466	0.980552058	ybjG
NC_016810.1	CDS	3014744	3015154	-	0.015956455	4.2	NA	0.028517381	0.18	0.905292842	NA	hych	NA	NA	NA	hycH
NC_016810.1	CDS	1053398	1054600	-	9.09456e-7	4.2	NA	7.65232e-6	2.13	0.011292493	0.101316892	pncb	-0.433824655	0.103525384	0.649844828	pncB
NC_016810.1	CDS	15014	15961	+	7.10188e-4	4.19	NA	0.002061764	1.57	0.157884287	0.450163737	sl1344_0014	NA	NA	NA	SL1344_0014
NC_016810.1	CDS	3493918	3494175	-	7.28507e-7	4.19	NA	6.38594e-6	2.23	0.007999018	0.084446595	rpma	-0.267739923	0.329582594	0.897480257	rpmA
NC_016810.1	CDS	1646807	1647577	-	2.7352e-4	4.19	NA	9.19207e-4	-1.38	0.215920677	0.519777966	pcgl	NA	NA	NA	pcgL
NC_016810.1	CDS	3918199	3918630	-	4.11107e-6	4.19	NA	2.67739e-5	1.69	0.057511427	0.26555242	sl1344_3669	-0.306886383	0.171108108	0.777141504	SL1344_3669
NC_016810.1	CDS	2031897	2033327	-	1.34697e-6	4.19	NA	1.05833e-5	2.65	0.002037729	0.040198073	dcm	-0.242600891	0.349787399	0.906186982	dcm
NC_017719.1	CDS	27	842	-	1.5395e-7	4.19	NA	1.74474e-6	-0.44	0.582231161	0.811337581	sulii	-0.269064982	0.075150738	0.610684373	sulII
NC_016810.1	CDS	3711607	3712152	-	0.002006035	4.19	NA	0.004954666	0.02	0.988152825	0.995549065	sl1344_3494	NA	NA	NA	SL1344_3494
NC_016810.1	CDS	565927	566613	+	3.54231e-4	4.19	NA	0.001143172	1.62	0.160257615	0.453407695	ybba	NA	NA	NA	ybbA
NC_016810.1	CDS	3877964	3878428	+	0.002847039	4.19	NA	0.006634093	0.48	0.689235919	0.87221529	sl1344_3634	NA	NA	NA	SL1344_3634
NC_016810.1	CDS	3706190	3707773	+	0.016868125	4.19	NA	0.029915551	0.22	0.885053742	NA	rtcr	NA	NA	NA	rtcR
NC_016810.1	CDS	4637196	4637879	+	0.00603785	4.19	NA	0.012516986	2.74	0.054860404	NA	sl1344_4306	NA	NA	NA	SL1344_4306
NC_016810.1	CDS	4664256	4665599	-	1.67818e-6	4.18	NA	1.28718e-5	-0.71	0.394523968	0.67946354	ytfl	0.248282699	0.274680546	0.865346655	ytfL
NC_016810.1	CDS	415573	417198	-	5.02618e-5	4.18	NA	2.2191e-4	3.07	0.002613406	0.045555651	prpr	NA	NA	NA	prpR
NC_016810.1	CDS	2324542	2325162	-	2.91862e-6	4.18	NA	2.03603e-5	-0.49	0.563755501	0.801495176	sl1344_2202	0.172628534	0.498527122	0.951670844	SL1344_2202
NC_016810.1	sRNA	2824673	2824885	-	6.79779e-4	4.18	NA	0.001988843	-0.57	0.594040533	0.816983283	stnc3800	NA	NA	NA	STnc3800
NC_016810.1	sRNA	2462091	2462185	-	6.51299e-4	4.18	NA	0.001917336	0.45	0.707633236	0.88336303	ruf_107c.108	NA	NA	NA	RUF_107c.108
NC_016810.1	CDS	3802026	3802925	+	1.11156e-5	4.18	NA	6.18904e-5	-1.41	0.104276106	0.369263312	yhjc	NA	NA	NA	yhjC
NC_017720.1	CDS	26989	27234	-	5.05001e-4	4.18	NA	0.001540125	-1.73	0.099229084	0.361056851	trbd	NA	NA	NA	trbD
NC_016810.1	CDS	3282933	3283223	+	3.08947e-4	4.18	NA	0.001016674	1.13	0.285777419	0.59048008	sl1344_3077	NA	NA	NA	SL1344_3077
NC_016810.1	CDS	2022517	2022894	+	2.67102e-4	4.17	NA	9.02345e-4	1.44	0.168033044	0.464946775	flio	-0.01075188	0.956585499	0.991822998	fliO
NC_016810.1	CDS	3843810	3844337	-	9.23609e-4	4.17	NA	0.0025717	-1.47	0.140213861	0.424734039	lpfe	NA	NA	NA	lpfE
NC_016810.1	CDS	1602664	1604361	+	1.01122e-5	4.17	NA	5.71507e-5	-0.76	0.404468335	0.688504514	sfca	-0.010339182	0.966584738	0.993677761	sfcA
NC_016810.1	CDS	958831	959547	-	9.92673e-5	4.17	NA	3.95841e-4	-0.71	0.49607936	0.755429202	artq	NA	NA	NA	artQ
NC_016810.1	CDS	3364227	3364541	+	7.33807e-6	4.17	NA	4.38631e-5	1.2	0.172687783	0.471143203	sl1344_3154	NA	NA	NA	SL1344_3154
NC_016810.1	CDS	171814	173220	-	8.3838e-6	4.17	NA	4.89779e-5	0.65	0.480972277	0.742967115	sl1344_0149	0.115272666	0.461045576	0.951670844	SL1344_0149
NC_016810.1	CDS	284287	284994	-	1.84735e-5	4.17	NA	9.43604e-5	0.91	0.316610256	0.615087895	sl1344_0244	NA	NA	NA	SL1344_0244
NC_016810.1	CDS	697517	697780	-	1.19222e-6	4.16	NA	9.58932e-6	1.91	0.022022372	0.150519678	sl1344_0624	0.19845823	0.300724732	0.868150118	SL1344_0624
NC_016810.1	CDS	4261927	4262856	-	0.003099823	4.16	NA	0.007126252	1.32	0.282655682	NA	sl1344_3978	NA	NA	NA	SL1344_3978
NC_016810.1	CDS	2145186	2146100	-	6.5548e-5	4.16	NA	2.78232e-4	-0.09	0.931030998	0.97597989	sl1344_2046	NA	NA	NA	SL1344_2046
NC_016810.1	sRNA	1850046	1850400	-	0.003036086	4.16	NA	0.007005405	-2.16	0.043529832	0.225383851	stnc3610	NA	NA	NA	STnc3610
NC_016810.1	sRNA	2495038	2495083	-	2.95473e-4	4.16	NA	9.78041e-4	-0.84	0.420406145	0.697013878	slnc1017	NA	NA	NA	SLnc1017
NC_016810.1	CDS	2381514	2382644	+	7.70207e-6	4.16	NA	4.56788e-5	-0.51	0.572592388	0.806933143	nrdb	0.409237955	0.047185243	0.510305938	nrdB
NC_016810.1	CDS	454138	455508	+	1.47745e-5	4.16	NA	7.84843e-5	0.16	0.857733551	0.94598299	proy	-0.080603627	0.752470685	0.980552058	proY
NC_016810.1	sRNA	1440136	1440315	+	7.71215e-5	4.16	NA	3.19246e-4	1.44	0.170158194	0.467767709	styr-327	NA	NA	NA	StyR-327
NC_016810.1	CDS	1514089	1515477	+	1.60899e-5	4.15	NA	8.39393e-5	0.99	0.293125448	0.596688073	pntb	NA	NA	NA	pntB
NC_016810.1	CDS	4055519	4056364	-	3.11679e-5	4.15	NA	1.4822e-4	1.54	0.108366982	0.37643855	sl1344_3798	NA	NA	NA	SL1344_3798
NC_016810.1	sRNA	2759412	2759518	-	3.27575e-4	4.15	NA	0.00107014	-2.13	0.064184761	0.282262319	stnc2080	NA	NA	NA	STnc2080
NC_016810.1	CDS	433029	434123	-	2.25691e-6	4.15	NA	1.6404e-5	0.45	0.593459736	0.816983283	ddla	0.225844268	0.356900708	0.919784112	ddlA
NC_016810.1	CDS	2494476	2495027	+	9.24005e-6	4.15	NA	5.30186e-5	-0.96	0.274845234	0.579951814	sl1344_2355	NA	NA	NA	SL1344_2355
NC_016810.1	CDS	3292158	3293414	+	1.58855e-4	4.15	NA	5.88933e-4	-0.68	0.482317454	0.744114638	nupg	0.071248157	0.777585785	0.980552058	nupG
NC_016810.1	CDS	824174	824719	-	4.61365e-5	4.15	NA	2.0735e-4	-0.99	0.264032471	0.570154626	sl1344_0738	NA	NA	NA	SL1344_0738
NC_016810.1	CDS	3005941	3007461	-	4.08539e-5	4.15	NA	1.87342e-4	1.02	0.280420417	0.58588712	ygaa	NA	NA	NA	ygaA
NC_016810.1	CDS	3619405	3619599	-	1.92578e-4	4.14	NA	6.86312e-4	-2.42	0.016418558	0.125577769	yhea	NA	NA	NA	yheA
NC_016810.1	CDS	4172859	4173381	-	0.003439904	4.14	NA	0.007782276	0.32	0.795186909	0.920553229	sl1344_3899a	NA	NA	NA	SL1344_3899A
NC_016810.1	CDS	569210	570343	+	1.2796e-5	4.14	NA	6.97402e-5	-0.96	0.274052804	0.579548656	sl1344_0502	NA	NA	NA	SL1344_0502
NC_016810.1	CDS	3136539	3136988	-	4.69443e-5	4.14	NA	2.09623e-4	1.48	0.13167038	0.413331031	sl1344_2944	-0.051305468	0.840144711	0.988871448	SL1344_2944
NC_016810.1	CDS	440903	441094	+	5.95289e-5	4.14	NA	2.56179e-4	0.56	0.573655654	0.80723426	sl1344_0384	NA	NA	NA	SL1344_0384
NC_016810.1	CDS	3077151	3078083	+	0.00120188	4.14	NA	0.00320454	2.18	0.063480526	0.280380066	sl1344_2891	NA	NA	NA	SL1344_2891
NC_017720.1	CDS	76217	77206	+	8.56842e-7	4.14	NA	7.31886e-6	-0.2	0.809193607	0.927005926	repa2	0.064185235	0.728744789	0.980552058	repA2
NC_017718.1	CDS	17236	17481	+	0.011591248	4.14	NA	0.021786426	-1.33	0.310391512	NA	ycca	NA	NA	NA	yccA
NC_016810.1	CDS	3626353	3627171	-	4.37704e-6	4.14	NA	2.83017e-5	-1.04	0.244780873	0.55006388	fkpa	-0.163527647	0.364390272	0.92521963	fkpA
NC_016810.1	CDS	2801	3730	+	1.41335e-6	4.14	NA	1.1028e-5	0.73	0.380269729	0.669441438	thrb	NA	NA	NA	thrB
NC_016810.1	CDS	2423534	2425063	-	3.39373e-6	4.14	NA	2.28444e-5	-0.2	0.814545974	0.929767706	nuom	0.400861374	0.105518808	0.649844828	nuoM
NC_016810.1	CDS	3916331	3917350	-	2.28067e-6	4.14	NA	1.65367e-5	0.31	0.715890646	0.885183164	gpsa	0.045735203	0.811806939	0.980552058	gpsA
NC_016810.1	CDS	3028947	3029864	+	0.001874163	4.14	NA	0.004676335	-0.95	0.422796159	0.698550794	sita	NA	NA	NA	sitA
NC_016810.1	CDS	124104	125714	-	6.88457e-5	4.14	NA	2.90317e-4	1.64	0.098637797	0.36007066	yabk	-0.45107622000000003	0.067610604	0.580807284	yabK
NC_016810.1	CDS	1486739	1487359	-	4.11361e-5	4.14	NA	1.88323e-4	-0.31	0.731669076	0.891911743	rnfg	NA	NA	NA	rnfG
NC_016810.1	CDS	4369506	4371392	+	1.71702e-6	4.13	NA	1.30586e-5	-0.5	0.550510381	0.792179395	btub	0.053485949	0.811539257	0.980552058	btuB
NC_016810.1	CDS	2685207	2686025	+	2.65858e-4	4.13	NA	8.9949e-4	-0.19	0.853135017	0.94485969	asrb	NA	NA	NA	asrB
NC_016810.1	CDS	2679253	2680467	-	1.17736e-4	4.13	NA	4.58008e-4	0.44	0.683629445	0.86965194	iscs	NA	NA	NA	iscS
NC_016810.1	CDS	1652532	1653068	-	1.06714e-4	4.13	NA	4.21397e-4	1.14	0.235523499	0.539871397	sl1344_1535	NA	NA	NA	SL1344_1535
NC_016810.1	CDS	4381934	4383118	+	7.42297e-6	4.13	NA	4.42542e-5	1.42	0.122382745	0.399553786	tuf2	-0.144303541	0.400899218	0.935404044	tuf2
NC_016810.1	CDS	4271801	4272859	+	0.007511042	4.13	NA	0.015066378	0.53	0.686529675	NA	yiig	NA	NA	NA	yiiG
NC_016810.1	CDS	1950795	1951316	-	2.26825e-4	4.12	NA	7.84193e-4	1.04	0.335720291	0.632263842	ruvc	NA	NA	NA	ruvC
NC_016810.1	sRNA	176086	176169	+	2.92129e-4	4.12	NA	9.68511e-4	1.1	0.313970404	0.612715793	styr-51	-0.034061647	0.894539675	0.989070004	StyR-51
NC_016810.1	CDS	4846478	4847050	-	0.001273417	4.12	NA	0.003372349	-1.17	0.250613448	0.556133219	stja	NA	NA	NA	stjA
NC_016810.1	CDS	463675	464646	+	7.31376e-6	4.12	NA	4.37468e-5	1.84	0.042482449	0.223024594	secf	0.157504035	0.478852911	0.951670844	secF
NC_016810.1	CDS	2408405	2408662	+	9.62075e-5	4.12	NA	3.8483e-4	0.49	0.618246319	0.829657782	sl1344_2271	NA	NA	NA	SL1344_2271
NC_016810.1	sRNA	1113719	1113828	-	0.011447163	4.12	NA	0.021556036	-2.25	0.082495471	0.325447047	is042	NA	NA	NA	IS042
NC_016810.1	CDS	720450	721922	+	7.8494e-4	4.12	NA	0.00224482	0.81	0.462701544	0.72890135	sl1344_0647	NA	NA	NA	SL1344_0647
NC_016810.1	CDS	3389249	3389863	+	3.92047e-6	4.12	NA	2.59067e-5	0.12	0.890747426	0.960532638	sl1344_3176	-0.275235571	0.270430433	0.865346655	SL1344_3176
NC_016810.1	CDS	1933232	1934410	+	8.85651e-6	4.11	NA	5.13074e-5	-1.67	0.053845083	0.254368998	purt	NA	NA	NA	purT
NC_016810.1	CDS	58946	60148	+	1.03749e-5	4.11	NA	5.83774e-5	-1.08	0.206936039	0.509082364	sl1344_0051	NA	NA	NA	SL1344_0051
NC_016810.1	CDS	649084	650220	+	1.44521e-4	4.11	NA	5.44146e-4	-1	0.303762169	0.602345559	fepe	0.055021935	0.820238786	0.982741597	fepE
NC_017720.1	CDS	83648	84166	+	9.10797e-4	4.11	NA	0.00254425	1.25	0.259000165	0.564852707	sl1344_p1_0090	NA	NA	NA	SL1344_P1_0090
NC_016810.1	CDS	3802998	3804026	+	2.51433e-4	4.11	NA	8.57015e-4	-1.79	0.094998901	0.352509672	yhjd	NA	NA	NA	yhjD
NC_016810.1	CDS	1739440	1740420	+	1.11733e-4	4.11	NA	4.37808e-4	1.02	0.312033971	0.61137995	pspf	NA	NA	NA	pspF
NC_016810.1	CDS	4609433	4609747	+	0.001667994	4.11	NA	0.004224415	-0.71	0.502432118	0.757071044	sl1344_4283	0.012676462	0.957476652	0.991822998	SL1344_4283
NC_016810.1	CDS	3293476	3295611	-	1.36004e-5	4.11	NA	7.33313e-5	0.2	0.815840367	0.930593778	spec	NA	NA	NA	speC
NC_016810.1	CDS	2743940	2744257	-	0.019186862	4.11	NA	0.033294631	-0.2	0.893861572	NA	sl1344_2559	NA	NA	NA	SL1344_2559
NC_016810.1	CDS	1168303	1169811	+	5.17882e-6	4.11	NA	3.27351e-5	-2.64	0.00211016	0.040788362	putp	-0.069475934	0.747872949	0.980552058	putP
NC_016810.1	CDS	4543343	4543963	+	0.005458678	4.11	NA	0.011521137	2.33	0.085843846	NA	nrfg	NA	NA	NA	nrfG
NC_016810.1	CDS	1328651	1329667	-	2.83384e-4	4.11	NA	9.44263e-4	1.03	0.333977601	0.631096049	ansa	NA	NA	NA	ansA
NC_016810.1	CDS	2041795	2042394	-	1.39668e-4	4.11	NA	5.29331e-4	0.19	0.850856395	0.944567385	sl1344_1929	NA	NA	NA	SL1344_1929
NC_016810.1	CDS	2717131	2718327	-	0.017617567	4.11	NA	0.031000869	-0.26	0.858531113	NA	sl1344_2536	NA	NA	NA	SL1344_2536
NC_016810.1	sRNA	1974403	1974566	-	2.97702e-6	4.11	NA	2.06877e-5	1.87	0.031781317	0.189396432	stnc205	-0.325252983	0.11192715	0.657708725	STnc205
NC_016810.1	CDS	4368074	4369174	-	1.48557e-5	4.1	NA	7.88227e-5	0.38	0.66843098	0.860511739	trma	NA	NA	NA	trmA
NC_016810.1	CDS	2901981	2902619	+	1.7471e-5	4.1	NA	8.9992e-5	0.68	0.439205927	0.71018293	sl1344_2725	NA	NA	NA	SL1344_2725
NC_016810.1	sRNA	2392019	2392298	-	1.2981e-4	4.1	NA	4.98251e-4	-2.06	0.035932054	0.20132694	isrh-2	NA	NA	NA	IsrH-2
NC_016810.1	CDS	4182536	4183021	-	0.030736315	4.1	NA	0.049375167	1.19	0.505140622	NA	sl1344_3910	NA	NA	NA	SL1344_3910
NC_017718.1	CDS	33969	34301	+	7.85427e-5	4.1	NA	3.24682e-4	1.07	0.27090632	0.577095639	nika	0.380130983	0.133457905	0.708318244	nikA
NC_016810.1	CDS	1751199	1753133	+	4.02326e-6	4.1	NA	2.64561e-5	-0.11	0.900337709	0.964948942	rnb	-0.180743744	0.365168661	0.92521963	rnb
NC_016810.1	CDS	726746	727420	-	0.001209964	4.1	NA	0.003224187	-1.82	0.137300123	0.4226062	gltk	NA	NA	NA	gltK
NC_016810.1	CDS	2701376	2701714	-	3.26165e-6	4.1	NA	2.20953e-5	1.69	0.048024828	0.238042243	glnb	0.016890272	0.936521063	0.990289457	glnB
NC_016810.1	CDS	753263	754666	-	3.13802e-5	4.1	NA	1.48939e-4	0.98	0.300046994	0.599866807	sl1344_0673	NA	NA	NA	SL1344_0673
